km_routing,wegkm_imp
216.42,0.95
216.419,1.43
9995.0,10.45
9995.0,7.6
9995.0,13.3
9995.0,13.3
9995.0,13.3
70706.0,0.49
70706.0,0.49
9995.0,13.3
3.277,4.75
3.277,4.75
1.55,1.9
1.55,1.9
3.99,11.4
3.99,11.4
4.262,12.35
4.262,12.35
9995.0,12.35
4.262,12.35
,
9.747,6.28
1.305,1.77
6.929,5.34
0.744,1.64
4.238,4.18
0.002,11.4
10.156,2.85
2.023,23.65
258.896,14.25
252.852,9.5
5.807,23.75
21.365,11.4
70703.0,1.85
70703.0,1.85
70703.0,6.97
70703.0,41.9
70703.0,29.14
70703.0,9.4
70703.0,11.8
70703.0,1.13
70703.0,4.7
70703.0,2.98
70703.0,7.71
70706.0,0.49
70706.0,0.49
,
,
,
,
70703.0,3.6
70703.0,9.31
70703.0,2.18
70703.0,2.24
0.832,2.38
0.832,2.38
3.748,4.09
3.748,4.09
70706.0,0.78
70706.0,0.78
,
,
6.155,8.55
70706.0,8.1
16.563,17.1
16.563,17.1
35.687,33.25
35.687,33.25
35.687,33.25
35.687,33.25
2.973,5.7
70706.0,0.29
2.888,4.28
2.999,3.8
2.999,4.28
70706.0,0.39
70706.0,0.39
70706.0,1.76
70706.0,1.76
70706.0,2.94
9995.0,38.0
9995.0,38.0
70706.0,1.47
,
20.946,21.85
70706.0,0.39
22.653,21.85
70706.0,2.45
70706.0,2.45
70706.0,0.49
70706.0,0.49
70706.0,1.96
70706.0,1.96
29.961,28.5
35.543,38.0
70706.0,0.39
70706.0,0.39
5.073,5.13
5.073,5.13
14.28,13.59
70706.0,0.29
70706.0,0.29
29.961,28.5
35.543,38.0
70706.0,0.39
70706.0,0.39
5.073,5.13
5.073,5.13
14.28,13.59
70706.0,0.29
70706.0,0.29
9995.0,13.5
70706.0,1.96
70706.0,1.96
9995.0,13.5
70706.0,2.45
9995.0,10.8
27.122,33.25
27.122,33.25
70706.0,1.47
70706.0,1.47
9995.0,10.8
9995.0,10.8
70706.0,1.96
70706.0,1.96
3.992,3.8
3.992,3.8
3.992,3.8
3.992,3.8
19.206,19.0
19.206,19.0
70706.0,25.48
70706.0,25.48
19.206,31.5
19.206,31.5
19.206,31.5
19.206,31.5
3.992,3.8
3.992,3.8
70706.0,0.49
70706.0,0.49
,
9995.0,13.5
9995.0,18.0
9995.0,3.6
9995.0,3.6
70703.0,2.73
70703.0,7.06
70703.0,1.28
70703.0,0.79
3.147,3.33
3.147,3.33
4.886,5.7
5.821,5.7
2.985,3.8
,
,
0.919,0.95
0.67,0.48
0.659,0.48
9995.0,2.38
70706.0,2.45
70706.0,2.45
,
0.919,0.95
16.781,27.0
17.54,28.8
70706.0,0.98
70706.0,0.98
0.919,0.95
16.594,27.0
70706.0,0.49
9995.0,28.8
,
8.685,11.4
8.685,11.4
